Team,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,WAR,ERA-,FIP-,xFIP-,K/9+,BB/9+,K/BB+,HR/9+,AVG+_1,WHIP+,BABIP+_1,LOB%+,K%+_1,BB%+_1,LD%+,WonWS
BOS,98.07069740426250,103.85814648031500,83.5767895002828,104.4786166361100,99.71083839654390,104.77808250055200,106.1107263607100,106.01283863736600,103.5499745280110,10.1834892459097,92.1296230132972,87.6187459650223,93.3813499602669,110.021566419069,109.703628737464,100.289813845411,76.2171167867381,105.253647435052,106.996485307361,112.890093447194,100.091236971377,108.297801261257,107.984850302017,110.232170022723,0
KCR,84.72792940388030,97.7984027551446,90.42163583473020,96.15081547418940,96.25214768679360,92.72875229196450,85.38472138732690,98.44958902055550,101.65942246604000,6.70850326003945,103.616227397987,98.8680128150733,101.462230309035,105.131449147758,120.751112551362,87.0645790405598,90.9238830981549,101.297197560162,107.13828106568,104.427802571383,97.4457289833372,103.009190457614,118.313550136328,103.790317323536,0
CIN,98.68096464365380,100.02333774727000,97.31246971890670,100.91405044977200,100.98405093642500,101.95647098276300,104.76349553848500,99.36958974576900,104.46008030358900,7.06028725899034,107.200697868699,96.1814751735837,99.939860722162,110.365602943913,125.206249261277,88.0086617054859,99.8459327247283,97.3060454527217,105.332216798136,100.753607605391,94.9857119536346,108.30678118051,122.870583262219,98.0584535921713,0
MIN,103.13430918149600,98.62105374665610,99.80717756103640,101.72732094598700,98.88950787118560,103.11888571802600,109.63456510095800,96.96982544624090,98.58758306125040,2.28552460424596,118.363858381702,112.607781188053,103.063821277274,95.5723821769929,97.5624725284269,97.9601874628694,122.888395117895,106.749775339057,106.108970479226,102.962119127405,94.4033689500383,93.6919962266202,95.6429361630836,107.711824451914,0
ARI,84.63727665567740,93.55901640182400,93.79424975363270,106.23337151140100,93.76716814619090,90.42803086095380,85.8816312237084,97.54091041524440,98.54863105063940,1.90909879421909,123.17009832179,114.246022826335,108.667124216189,91.6998434501557,99.2502952945871,92.2210996308344,116.658573563257,109.936444400421,109.976258446302,105.584729540864,93.2439128479294,88.5893927860222,95.8837348945391,103.533478612444,0
BAL,87.02561153742440,96.10554735983020,90.64693888465360,103.83296673198500,94.94659600361480,93.99000841264870,90.92538225727460,98.7135654038112,98.63546034901620,6.23884937332461,115.112824301385,102.499550965766,101.421070392159,101.745861370309,101.660086064426,100.084373364042,122.49955315918,105.486323330801,106.267563678857,103.772927604015,97.6410752906616,99.5544480917089,99.4705250653018,109.281963257623,0
PIT,74.43644083740860,91.46190551663400,89.26574690170350,102.35135324548300,91.24704205153030,83.58593568721670,72.14951519014900,95.6775307161432,101.08962550709000,4.07929812665794,113.112952293098,104.91996879436,104.754070819087,95.6569279707498,107.796870593543,88.7381305918473,101.89555395661,101.899918583377,104.092736181564,100.250353092377,94.902982882328,94.4935945232717,106.485898161216,103.912376412041,0
SDP,100.69652500144200,99.78062290830110,109.68221008510800,96.47463530855010,101.39403849750600,94.37782895986200,85.90858427972750,101.39367891517700,94.83245075825460,9.81605847404211,86.8030529080873,89.0047563292623,93.2253227818864,103.032258046857,95.6595078539862,106.951447914906,76.4360953399791,89.293211660216,88.9320264286359,92.0832652776721,102.743731886109,106.696998617683,99.0620034490636,96.4398353453958,0
HOU,107.9302080076360,97.87095902666880,117.9877385059490,88.94616136357060,101.87833884702400,104.41159703011300,115.03283985829700,92.14100093649570,103.60857913230900,7.53723449291928,79.1484053169145,92.7436088994275,99.8951247892434,100.854093318755,94.8416227317818,106.339489170284,81.2850268519835,90.8863337637222,90.4221073291289,92.3814600551744,104.416486987844,103.218626099836,97.0651881813661,104.912463573494,1
TOR,117.25680095309700,106.68560999178300,103.07465785414700,93.67189112837810,105.53641747283300,110.04366613710100,115.49676256765200,103.5921782019360,102.80899815097100,7.74039333106019,95.8505221246867,90.9972186345585,96.5464463982757,99.6207951856334,82.9502110299832,119.862536638557,92.8248870222641,99.1065800185113,94.6068903824103,99.6616110994649,100.650262648348,101.253651616584,84.3098207051912,102.441577964392,0
CLE,102.9508187212660,103.62224131188200,99.37195862610960,79.85077337446190,101.33269278310800,100.07433718265100,94.31294949113900,99.45026303719310,93.97475400357820,4.75253629290445,95.5275857317139,101.547383558712,100.511336126122,99.5924744295972,94.0162580821418,105.931123218426,102.658219335664,94.121959501197,92.9040600360284,93.1681799947121,99.3655435486489,101.581572614582,95.8939816282619,102.909089610397,0
PHI,108.24213811533200,103.81192786325000,100.31835037753800,101.56265870321300,101.95912458145300,107.04163293578600,112.10441392744000,102.94528507298600,104.2594949715940,8.99752270130661,97.0501087365571,87.8079450447639,94.071256005059,105.723766260968,100.358370185162,105.346240940932,80.0256887029962,99.1583601821953,99.2193413880451,103.32141673978,97.1648784005749,105.926809797536,100.551104817871,100.143328108673,0
NYY,118.38782611019000,101.89878738492800,122.99056327663700,96.7907706521744,105.25941902405200,111.50753081031300,127.11102348808900,95.42612810281350,98.42284533495060,10.70516839239,73.9040322388089,78.1100011033865,87.161231173123,108.347243130047,78.6814816186117,137.703618441668,71.6086222893256,89.4343556771877,84.9136531898292,94.2936584691075,108.459084647559,112.873793370206,81.9686465699985,94.9752441713528,0
SEA,106.78963496438900,97.13872239439140,121.01224861895000,100.41550758192100,103.24770601864700,97.8576937481478,99.02522042226340,97.49318594367010,106.22928591186600,2.18414270553115,107.535554574924,113.354239499998,105.301612803352,99.806345187629,102.609027004837,97.2685852992068,125.314190494577,99.7328641329781,100.210712573252,96.9573582503067,102.522201411434,100.130736480563,102.942522823287,101.536731284421,0
COL,85.2893282484364,105.88202665058400,92.06137848900640,92.8539192084075,102.07630128293100,97.6016759184736,84.62166649060480,106.38312406652100,100.89395076171100,6.40646490872132,107.429362976858,98.2437715084693,106.99381731112,85.4037395367256,104.786824560534,81.502367571124,90.533533328799,112.519073992321,113.419636312402,109.046849360228,89.7633712506501,82.5178985557146,101.246013456137,108.31881435556,0
MIL,97.30826189625930,95.29636435805710,104.09124763840200,104.60570719535700,97.80055104598620,99.09680193127340,105.05424469261400,94.43964995094720,92.03885629617760,7.7963596494181,91.4953197016077,92.1947461657704,89.6648886772135,110.813605816537,103.109938048401,106.934856287705,95.2947383106722,95.7580311898842,97.6291037972483,99.4214158471745,99.8619612887824,111.135328197488,103.409289794509,100.344364309258,0
